"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"DATO:
DATI ANALITICI CORPI IDRICI FLUVIALI","","FONTE DATI:
ARPA Lombardia","ANNO DI RIFERIMENTO:
2018","","Sostanze Perfluoroalchiliche 
– PFAS – ","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"BACINO IDROGRAFICO","CORSO D'ACQUA","CORPO IDRICO","PROVINCIA","COMUNE","COORD X","COORD Y","Codice Stazione","DATA CAMPIONAMENTO","SOSTANZA","CAS","UM","CONCENTRAZIONE"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","3/13/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,01"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","3/13/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","3/13/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","3/13/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","3/13/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","3/13/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,011"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","3/13/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","3/13/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","3/13/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,008"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","3/13/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,004"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","3/13/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","3/13/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","4/9/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","4/9/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","4/9/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","4/9/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","4/9/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","0,005"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","4/9/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,012"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","4/9/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","4/9/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","4/9/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,01"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","4/9/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0033"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","4/9/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,011"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","4/9/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","5/9/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,031"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","5/9/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","5/9/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","5/9/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","5/9/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","5/9/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,014"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","5/9/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","5/9/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","5/9/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,008"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","5/9/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0071"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","5/9/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,046"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","5/9/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","6/4/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","6/4/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","6/4/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","6/4/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","6/4/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","6/4/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,013"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","6/4/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","6/4/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","6/4/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,008"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","6/4/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0043"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","6/4/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,014"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","6/4/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","8/1/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,041"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","8/1/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","8/1/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","8/1/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","8/1/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","0,005"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","8/1/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,027"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","8/1/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","8/1/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","8/1/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,008"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","8/1/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0025"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","8/1/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,056"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","8/1/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","10/8/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","10/8/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","10/8/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","10/8/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","10/8/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","10/8/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,011"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","10/8/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","10/8/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","10/8/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,008"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","10/8/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0027"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","10/8/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,029"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","10/8/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","12/3/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,007"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","12/3/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","12/3/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","12/3/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","12/3/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","0,005"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","12/3/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,008"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","12/3/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","12/3/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","12/3/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,009"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","12/3/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0019"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","12/3/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,015"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO","CO","Como","505774","5073331","N0080010552lo1","12/3/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"SEVESO","Seveso (Torrente)","IT03N008001091011LO","CO","Fino Mornasco","504454","5066690","N008001091011lo1","9/13/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"SEVESO","Seveso (Torrente)","IT03N008001091011LO","CO","Fino Mornasco","504454","5066690","N008001091011lo1","9/13/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"SEVESO","Seveso (Torrente)","IT03N008001091011LO","CO","Fino Mornasco","504454","5066690","N008001091011lo1","9/13/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"SEVESO","Seveso (Torrente)","IT03N008001091011LO","CO","Fino Mornasco","504454","5066690","N008001091011lo1","9/13/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"SEVESO","Seveso (Torrente)","IT03N008001091011LO","CO","Fino Mornasco","504454","5066690","N008001091011lo1","9/13/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","0,019"
"SEVESO","Seveso (Torrente)","IT03N008001091011LO","CO","Fino Mornasco","504454","5066690","N008001091011lo1","9/13/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,027"
"SEVESO","Seveso (Torrente)","IT03N008001091011LO","CO","Fino Mornasco","504454","5066690","N008001091011lo1","9/13/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"SEVESO","Seveso (Torrente)","IT03N008001091011LO","CO","Fino Mornasco","504454","5066690","N008001091011lo1","9/13/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","0,006"
"SEVESO","Seveso (Torrente)","IT03N008001091011LO","CO","Fino Mornasco","504454","5066690","N008001091011lo1","9/13/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,024"
"SEVESO","Seveso (Torrente)","IT03N008001091011LO","CO","Fino Mornasco","504454","5066690","N008001091011lo1","9/13/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,023"
"SEVESO","Seveso (Torrente)","IT03N008001091011LO","CO","Fino Mornasco","504454","5066690","N008001091011lo1","9/13/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,055"
"SEVESO","Seveso (Torrente)","IT03N008001091011LO","CO","Fino Mornasco","504454","5066690","N008001091011lo1","9/13/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"SEVESO","Seveso (Torrente)","IT03N008001091011LO","CO","Fino Mornasco","504454","5066690","N008001091011lo1","10/18/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,011"
"SEVESO","Seveso (Torrente)","IT03N008001091011LO","CO","Fino Mornasco","504454","5066690","N008001091011lo1","10/18/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"SEVESO","Seveso (Torrente)","IT03N008001091011LO","CO","Fino Mornasco","504454","5066690","N008001091011lo1","10/18/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"SEVESO","Seveso (Torrente)","IT03N008001091011LO","CO","Fino Mornasco","504454","5066690","N008001091011lo1","10/18/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"SEVESO","Seveso (Torrente)","IT03N008001091011LO","CO","Fino Mornasco","504454","5066690","N008001091011lo1","10/18/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","0,017"
"SEVESO","Seveso (Torrente)","IT03N008001091011LO","CO","Fino Mornasco","504454","5066690","N008001091011lo1","10/18/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,028"
"SEVESO","Seveso (Torrente)","IT03N008001091011LO","CO","Fino Mornasco","504454","5066690","N008001091011lo1","10/18/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"SEVESO","Seveso (Torrente)","IT03N008001091011LO","CO","Fino Mornasco","504454","5066690","N008001091011lo1","10/18/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","0,007"
"SEVESO","Seveso (Torrente)","IT03N008001091011LO","CO","Fino Mornasco","504454","5066690","N008001091011lo1","10/18/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,028"
"SEVESO","Seveso (Torrente)","IT03N008001091011LO","CO","Fino Mornasco","504454","5066690","N008001091011lo1","10/18/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,024"
"SEVESO","Seveso (Torrente)","IT03N008001091011LO","CO","Fino Mornasco","504454","5066690","N008001091011lo1","10/18/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,037"
"SEVESO","Seveso (Torrente)","IT03N008001091011LO","CO","Fino Mornasco","504454","5066690","N008001091011lo1","10/18/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"SEVESO","Seveso (Torrente)","IT03N008001091011LO","CO","Fino Mornasco","504454","5066690","N008001091011lo1","11/15/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"SEVESO","Seveso (Torrente)","IT03N008001091011LO","CO","Fino Mornasco","504454","5066690","N008001091011lo1","11/15/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"SEVESO","Seveso (Torrente)","IT03N008001091011LO","CO","Fino Mornasco","504454","5066690","N008001091011lo1","11/15/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"SEVESO","Seveso (Torrente)","IT03N008001091011LO","CO","Fino Mornasco","504454","5066690","N008001091011lo1","11/15/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"SEVESO","Seveso (Torrente)","IT03N008001091011LO","CO","Fino Mornasco","504454","5066690","N008001091011lo1","11/15/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","0,006"
"SEVESO","Seveso (Torrente)","IT03N008001091011LO","CO","Fino Mornasco","504454","5066690","N008001091011lo1","11/15/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,013"
"SEVESO","Seveso (Torrente)","IT03N008001091011LO","CO","Fino Mornasco","504454","5066690","N008001091011lo1","11/15/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"SEVESO","Seveso (Torrente)","IT03N008001091011LO","CO","Fino Mornasco","504454","5066690","N008001091011lo1","11/15/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"SEVESO","Seveso (Torrente)","IT03N008001091011LO","CO","Fino Mornasco","504454","5066690","N008001091011lo1","11/15/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,015"
"SEVESO","Seveso (Torrente)","IT03N008001091011LO","CO","Fino Mornasco","504454","5066690","N008001091011lo1","11/15/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,007"
"SEVESO","Seveso (Torrente)","IT03N008001091011LO","CO","Fino Mornasco","504454","5066690","N008001091011lo1","11/15/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,016"
